,Scheme_Name,Min_Sip,Min_Lumpsum,Expense_Ratio,Fund_Size_Cr,Fund_Age_Yr,Fund_Manager,Sortino,Alpha,Sd,Beta,Sharpe,Risk_Level,Amc_Name,Rating,Category,Sub_Category,Returns_1Yr,Returns_3Yr,Returns_5Yr
115,Baroda Bnp Paribas Large Cap Fund,300,5000,0.94,"₹1,347Cr",10,Jitendra Sriram,2.71,-0.18,14.57,0.86,1.32,6,Baroda BNP Paribas Mutual Fund,4,Equity,Large Cap Mutual Funds,3.0,23.5,12.8
116,Baroda Bnp Paribas Liquid Fund,500,5000,0.19,"₹6,686Cr",10,Vikram Pamnani,4.11,1.32,0.38,0.72,0.93,2,Baroda BNP Paribas Mutual Fund,5,Debt,Liquid Mutual Funds,5.7,4.4,5.4
117,Baroda Bnp Paribas Low Duration Fund,300,5000,0.39,₹175Cr,10,Mayank Prakash,2.55,3.17,0.96,1.28,1.51,3,Baroda BNP Paribas Mutual Fund,3,Debt,Low Duration Funds,5.0,6.0,6.5
118,Baroda Bnp Paribas Medium Duration Fund,300,5000,0.69,₹37Cr,9,Mayank Prakash,0.42,0.42,2.34,1.16,0.32,3,Baroda BNP Paribas Mutual Fund,2,Debt,Medium Duration Funds,3.9,5.0,3.5
119,Baroda Bnp Paribas Mid Cap Fund,300,5000,0.59,"₹1,192Cr",10,Shiv Chanani,3.35,1.31,15.92,0.86,1.67,6,Baroda BNP Paribas Mutual Fund,3,Equity,Mid Cap Mutual Funds,2.4,30.6,13.6
120,Baroda Bnp Paribas Money Market Fund,500,5000,0.2,₹111Cr,4,Vikram Pamnani,0.91,1.72,0.46,1.15,0.38,2,Baroda BNP Paribas Mutual Fund,2,Debt,Money Market Funds,5.0,4.1,
121,Baroda Bnp Paribas Multi Cap Fund,500,5000,1.1,"₹1,628Cr",10,Sanjay Chawla,3.05,2.11,16.27,0.9,1.44,6,Baroda BNP Paribas Mutual Fund,2,Equity,Multi Cap Funds,-1.7,28.8,12.3
122,Baroda Bnp Paribas Overnight Fund,500,5000,0.08,₹423Cr,4,Vikram Pamnani,0.32,0.62,0.34,0.45,0.05,1,Baroda BNP Paribas Mutual Fund,3,Debt,Overnight Mutual Funds,5.4,3.9,
123,Baroda Bnp Paribas Short Duration Fund,500,5000,0.37,₹235Cr,10,Prashant Pimple,1.23,3.6,1.75,1.55,0.88,3,Baroda BNP Paribas Mutual Fund,3,Debt,Short Duration Funds,4.2,5.7,6.7
124,Baroda Bnp Paribas Ultra Short Duration Fund,500,5000,0.22,₹560Cr,5,Vikram Pamnani,3.14,2.59,0.53,1.24,1.77,2,Baroda BNP Paribas Mutual Fund,3,Debt,Ultra Short Duration Funds,5.7,5.1,
125,Bharat Bond Fof – April 2025 – Direct Growth,500,1000,0.06,"₹3,912Cr",3,Dhawal Dalal,-,-,-,-,-,2,Edelweiss Mutual Fund,2,Other,FoFs Domestic,2.6,,
126,Canara Robeco Bluechip Equity Fund,1000,5000,0.48,"₹8,672Cr",10,Shridatta Bhandwaldar,3.07,0.16,14.97,0.89,1.35,6,Canara Robeco Mutual Fund,5,Equity,Large Cap Mutual Funds,1.7,24.3,14.4
127,Canara Robeco Conservative Hybrid Fund,1000,5000,0.57,"₹1,069Cr",10,Avnish Jain,3.41,2.59,3.98,0.6,1.74,4,Canara Robeco Mutual Fund,5,Hybrid,Conservative Hybrid Mutual Funds,3.8,11.4,9.4
128,Canara Robeco Consumer Trends Fund,1000,5000,1.0,₹935Cr,10,Shridatta Bhandwaldar,3.47,4.63,14.66,0.74,1.48,6,Canara Robeco Mutual Fund,4,Equity,Sectoral / Thematic Mutual Funds,7.1,26.7,15.1
129,Canara Robeco Corporate Bond Fund,1000,5000,0.39,₹191Cr,9,Avnish Jain,1.35,1.33,1.81,0.77,0.85,2,Canara Robeco Mutual Fund,3,Debt,Corporate Bond Mutual Funds,4.0,6.0,6.7
130,Canara Robeco Dynamic Bond Fund,1000,5000,0.66,₹116Cr,10,Kunal Jain,0.64,0.74,2.17,1.02,0.47,3,Canara Robeco Mutual Fund,3,Debt,Dynamic Bond,4.7,5.3,6.6
131,Canara Robeco Emerging Equities – Direct Growth,1000,5000,0.6,"₹15,261Cr",10,Shridatta Bhandwaldar,3.36,2.48,15.69,0.89,1.47,6,Canara Robeco Mutual Fund,3,Equity,Large & Mid Cap Funds,-0.2,27.0,12.6
132,Canara Robeco Equity Hybrid Fund,1000,5000,0.63,"₹8,235Cr",10,Shridatta Bhandwaldar,3.25,1.49,11.27,0.78,1.4,6,Canara Robeco Mutual Fund,4,Hybrid,Aggressive Hybrid Mutual Funds,1.8,20.1,12.2
133,Canara Robeco Equity Tax Saver Fund,500,500,0.64,"₹4,685Cr",10,Vishal Mishra,3.08,2.7,15.37,0.87,1.51,6,Canara Robeco Mutual Fund,5,Equity,ELSS Mutual Funds,1.2,27.7,15.5
134,Canara Robeco Flexi Cap Fund,1000,5000,0.55,"₹8,630Cr",10,Shridatta Bhandwaldar,2.84,0.32,14.9,0.87,1.39,6,Canara Robeco Mutual Fund,4,Equity,Flexi Cap Funds,-0.9,24.8,13.8
135,Canara Robeco Gilt Fund,1000,5000,0.54,₹80Cr,10,Kunal Jain,0.55,0.47,2.52,0.55,0.43,3,Canara Robeco Mutual Fund,3,Debt,Gilt Mutual Funds,4.3,5.1,7.0
136,Canara Robeco Income Fund,1000,5000,0.75,₹125Cr,10,Avnish Jain,0.69,0.87,2.74,1.32,0.45,3,Canara Robeco Mutual Fund,3,Debt,Medium to Long Duration Funds,3.9,5.8,7.0
137,Canara Robeco Infrastructure – Direct Growth,1000,5000,1.32,₹247Cr,10,Shridatta Bhandwaldar,3.99,10.9,16.53,0.59,1.8,6,Canara Robeco Mutual Fund,3,Equity,Sectoral / Thematic Mutual Funds,13.7,34.9,12.2
138,Canara Robeco Liquid Fund,1000,5000,0.11,"₹2,548Cr",10,Kunal Jain,3.04,1.07,0.39,0.66,0.47,2,Canara Robeco Mutual Fund,2,Debt,Liquid Mutual Funds,5.6,4.1,5.1
139,Canara Robeco Overnight Fund,0,5000,0.1,₹216Cr,4,Suman Prasad,0.03,0.61,0.34,0.45,0,1,Canara Robeco Mutual Fund,2,Debt,Overnight Mutual Funds,5.3,3.9,
140,Canara Robeco Savings Fund,1000,5000,0.31,"₹1,003Cr",10,Kunal Jain,2.24,2.64,0.77,1.33,1.12,2,Canara Robeco Mutual Fund,2,Debt,Low Duration Funds,5.0,5.2,5.9
141,Canara Robeco Short Duration Fund,1000,5000,0.47,₹520Cr,10,Suman Prasad,1.68,3.98,1.59,1.95,0.87,2,Canara Robeco Mutual Fund,3,Debt,Short Duration Funds,4.1,5.9,6.5
142,Canara Robeco Small Cap Fund,1000,5000,0.47,"₹4,831Cr",4,Shridatta Bhandwaldar,4.62,12.23,17.75,0.79,2.17,6,Canara Robeco Mutual Fund,5,Equity,Small Cap Mutual Funds,-0.6,51.8,
143,Canara Robeco Ultra Short Term Fund,500,500,0.4,₹565Cr,10,Suman Prasad,2.11,1.82,0.51,1.04,0.84,2,Canara Robeco Mutual Fund,2,Debt,Ultra Short Duration Funds,5.2,4.5,5.3
144,Dsp Arbitrage Fund,500,500,0.35,"₹1,238Cr",5,Kedar Karnik,1.08,1.45,0.72,0.64,0.82,1,DSP Mutual Fund,3,Hybrid,Arbitrage Mutual Funds,5.6,4.6,5.4
145,Dsp Banking & Psu Debt Fund,500,500,0.33,"₹2,463Cr",10,Vikram Chopra,1.59,4.78,1.87,2.4,0.84,2,DSP Mutual Fund,3,Debt,Banking and PSU Mutual Funds,4.0,6.4,6.9
146,Dsp Bond Fund,500,500,0.39,₹333Cr,10,Vivek Ramakrishnan,0.98,1.17,2.36,1.02,0.62,3,DSP Mutual Fund,3,Debt,Medium Duration Funds,3.8,6.1,4.9
147,Dsp Corporate Bond Fund,500,500,0.25,"₹2,065Cr",5,Vivek Ramakrishnan,0.59,0.76,2.16,0.73,0.45,3,DSP Mutual Fund,2,Debt,Corporate Bond Mutual Funds,2.6,5.6,
148,Dsp Credit Risk Fund,500,500,0.38,₹210Cr,10,Laukik Bagwe,1.23,2.84,4.32,0.26,0.58,4,DSP Mutual Fund,3,Debt,Credit Risk Funds,10.8,6.6,4.5
149,Dsp Dynamic Asset Allocation Fund,500,500,0.71,"₹3,770Cr",9,Atul Bhole,2.7,-0.92,8.62,0.53,1.03,5,DSP Mutual Fund,3,Hybrid,Dynamic Asset Allocation or Balanced Advantage,1.7,12.2,8.3
150,Dsp Equity & Bond Fund,500,500,0.78,"₹7,358Cr",10,Atul Bhole,2.7,0.51,12.7,0.83,1.25,6,DSP Mutual Fund,3,Hybrid,Aggressive Hybrid Mutual Funds,0.6,18.7,10.7
151,Dsp Equity Opportunities Fund,500,500,0.91,"₹7,110Cr",10,Rohit Singhania,2.87,1.89,16.6,0.93,1.4,6,DSP Mutual Fund,3,Equity,Large & Mid Cap Funds,3.2,31.6,11.7
152,Dsp Equity Savings Fund,500,500,0.4,₹535Cr,7,Kedar Karnik,3.55,4.83,6.37,0.88,1.75,4,DSP Mutual Fund,2,Hybrid,Equity Savings Mutual Funds,4.0,14.6,7.8
153,Dsp Flexi Cap Fund,500,500,0.76,"₹7,725Cr",10,Atul Bhole,2.56,-1.47,16.67,0.93,1.23,6,DSP Mutual Fund,3,Equity,Flexi Cap Funds,-0.1,22.8,12.0
154,Dsp Floater Fund,500,500,0.24,₹983Cr,2,Kedar Karnik,-,-,-,-,-,2,DSP Mutual Fund,1,Debt,Floater Mutual Funds,4.4,,
155,Dsp Focus Fund,500,500,1.08,"₹1,784Cr",10,Vinit Sambre,2.4,-2.77,16.44,0.9,1.11,6,DSP Mutual Fund,2,Equity,Focused Funds,-1.7,20.4,8.9
156,Dsp Global Allocation Fund,500,500,1.43,₹70Cr,9,Jay Kothari,1.15,-,10.88,-,0.67,6,DSP Mutual Fund,0,Other,FoFs Overseas,0.6,12.6,7.9
157,Dsp G-Sec Fund,500,500,0.54,₹430Cr,10,Vikram Chopra,0.93,1.15,2.85,0.62,0.64,3,DSP Mutual Fund,4,Debt,Gilt Mutual Funds,4.4,5.9,8.6
158,Dsp Healthcare Fund,500,500,1.04,"₹1,197Cr",4,Vinit Sambre,2.42,6.84,17.83,0.78,1.19,6,DSP Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,-3.6,26.9,
159,Dsp India T.I.G.E.R. Fund,500,500,1.34,"₹1,797Cr",10,Rohit Singhania,3.58,10.78,17.58,0.64,1.78,6,DSP Mutual Fund,3,Equity,Sectoral / Thematic Mutual Funds,15.8,36.4,11.9
160,Dsp Liquidity Fund,500,500,0.15,"₹13,582Cr",10,Kedar Karnik,4.19,1.29,0.37,0.73,0.83,3,DSP Mutual Fund,3,Debt,Liquid Mutual Funds,5.6,4.3,5.3
161,Dsp Low Duration Fund,500,500,0.3,"₹3,340Cr",8,Karan Mundhara,3.06,2.97,0.83,1.35,1.4,2,DSP Mutual Fund,2,Debt,Low Duration Funds,5.1,5.5,6.3
162,Dsp Midcap Fund,500,500,0.77,"₹13,213Cr",10,Vinit Sambre,2.26,-6.18,15.81,0.85,1.2,6,DSP Mutual Fund,2,Equity,Mid Cap Mutual Funds,-3.9,21.1,9.5
163,Dsp Natural Resources & New Energy – Direct Growth,500,500,1.21,₹673Cr,10,Rohit Singhania,2.31,21.48,23.46,0.43,1.39,6,DSP Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,-0.7,44.3,12.0
164,Dsp Nifty 50 Equal Weight Index Fund,500,500,0.4,₹498Cr,5,Anil Ghelani,3.22,3.52,17.4,1.01,1.51,6,DSP Mutual Fund,3,Other,Index Funds,2.2,30.9,10.7
165,Dsp Nifty 50 Index Fund,500,500,0.24,₹271Cr,4,Anil Ghelani,3.43,-0.76,16.67,0.99,1.3,6,DSP Mutual Fund,3,Other,Index Funds,0.9,25.8,
166,Dsp Nifty Next 50 Index Fund,500,500,0.32,₹227Cr,4,Anil Ghelani,1.68,-4.59,17.93,0.97,0.97,6,DSP Mutual Fund,2,Other,Index Funds,-6.3,21.8,
167,Dsp Overnight Fund,500,500,0.06,"₹2,754Cr",4,Kedar Karnik,0.73,0.67,0.34,0.47,0.12,1,DSP Mutual Fund,4,Debt,Overnight Mutual Funds,5.4,3.9,
168,Dsp Regular Savings Fund,500,500,0.51,₹199Cr,10,Vikram Chopra,2.68,2.26,4.28,0.61,1.55,3,DSP Mutual Fund,2,Hybrid,Conservative Hybrid Mutual Funds,3.0,10.8,6.0
169,Dsp Savings Fund,500,500,0.25,"₹3,903Cr",10,Kedar Karnik,1.82,3.15,0.81,1.65,1.15,3,DSP Mutual Fund,2,Debt,Money Market Funds,5.0,5.3,5.9
170,Dsp Short Term Fund,500,500,0.3,"₹2,821Cr",10,Laukik Bagwe,1.75,4.96,1.67,2.51,0.96,2,DSP Mutual Fund,2,Debt,Short Duration Funds,4.1,6.1,6.7
171,Dsp Small Cap Fund,500,500,0.9,"₹8,953Cr",10,Vinit Sambre,3.38,4.28,18.67,0.86,1.78,6,DSP Mutual Fund,2,Equity,Small Cap Mutual Funds,0.7,38.9,12.5
172,Dsp Strategic Bond Fund,500,500,0.47,₹481Cr,10,Vikram Chopra,0.48,0.84,3,1.36,0.41,2,DSP Mutual Fund,3,Debt,Dynamic Bond,3.0,5.4,7.3
173,Dsp Tax Saver Fund,500,500,0.81,"₹10,129Cr",10,Rohit Singhania,3.19,2.57,16.3,0.94,1.51,6,DSP Mutual Fund,4,Equity,ELSS Mutual Funds,1.8,28.8,13.3
174,Dsp Top 100 Equity Fund,500,500,1.27,"₹2,605Cr",10,Abhishek Singh,2.98,-1.79,15.88,0.91,1.18,6,DSP Mutual Fund,1,Equity,Large Cap Mutual Funds,3.6,21.8,8.9
175,Dsp Ultra Short Fund,500,500,0.3,"₹2,736Cr",10,Kedar Karnik,3.54,2.39,0.52,1.19,1.54,2,DSP Mutual Fund,3,Debt,Ultra Short Duration Funds,5.5,4.9,5.5
176,Dsp Us Flexible Equity Fund,500,500,1.52,₹770Cr,10,Jay Kothari,1.95,-,16.4,-,1.1,6,DSP Mutual Fund,0,Other,FoFs Overseas,2.2,23.8,13.6
177,Dsp World Gold Fund,500,500,1.81,₹777Cr,10,Jay Kothari,1.11,-,36.51,-,0.4,6,DSP Mutual Fund,0,Other,FoFs Overseas,-9.0,14.8,10.2
178,Dsp World Mining Fund,500,500,1.5,₹188Cr,10,Jay Kothari,1.68,-,28.33,-,1.08,6,DSP Mutual Fund,0,Other,FoFs Overseas,-5.4,37.1,15.0
179,Edelweiss Aggressive Hybrid Fund,500,5000,0.36,₹469Cr,10,Bharat Lahoti,3.83,5.57,11.66,0.79,1.72,6,Edelweiss Mutual Fund,4,Hybrid,Aggressive Hybrid Mutual Funds,6.5,24.6,13.0
180,Edelweiss Arbitrage Fund,500,5000,0.37,"₹5,393Cr",9,Bhavesh Jain,1.61,1.78,0.72,0.63,1.31,1,Edelweiss Mutual Fund,5,Hybrid,Arbitrage Mutual Funds,5.8,5.0,5.7
181,Edelweiss Balanced Advantage Fund,500,5000,0.51,"₹8,780Cr",10,Bhavesh Jain,3.31,2.1,9.71,0.67,1.48,6,Edelweiss Mutual Fund,4,Hybrid,Dynamic Asset Allocation or Balanced Advantage,2.9,18.5,12.0
182,Edelweiss Banking & Psu Debt Fund,500,5000,0.26,₹355Cr,10,Dhawal Dalal,0.78,6.29,3.68,3.18,0.55,3,Edelweiss Mutual Fund,2,Debt,Banking and PSU Mutual Funds,3.5,6.9,7.9
183,Edelweiss Equity Savings Fund,500,5000,0.7,₹258Cr,8,Bharat Lahoti,3.22,2.41,5.29,0.79,1.53,4,Edelweiss Mutual Fund,5,Hybrid,Equity Savings Mutual Funds,4.4,12.1,9.0
184,Edelweiss Europe Dynamic Equity Offshore – Dir Growth,500,5000,1.5,₹83Cr,9,Bhavesh Jain,1.64,-,19.12,-,0.93,6,Edelweiss Mutual Fund,0,Other,FoFs Overseas,9.2,25.2,7.6
185,Edelweiss Flexi Cap Fund,500,5000,0.56,"₹1,056Cr",8,Trideep Bhattacharya,3.41,1.91,16.02,0.92,1.46,6,Edelweiss Mutual Fund,3,Equity,Flexi Cap Funds,1.9,27.5,12.1
186,Edelweiss Govt Securities Fund,500,5000,0.66,₹119Cr,9,Dhawal Dalal,1.63,1.77,2.77,0.61,0.88,3,Edelweiss Mutual Fund,5,Debt,Gilt Mutual Funds,4.3,6.8,8.2
187,Edelweiss Greater China Equity Off-Shore Fund,500,5000,1.44,"₹1,897Cr",10,Bhavesh Jain,0.6,-,25.75,-,0.3,6,Edelweiss Mutual Fund,0,Other,FoFs Overseas,-4.1,9.0,6.1
188,Edelweiss Large & Mid Cap Fund,500,5000,0.6,"₹1,711Cr",10,Abhishek Gupta,3.56,2.77,15.87,0.9,1.47,6,Edelweiss Mutual Fund,4,Equity,Large & Mid Cap Funds,1.2,27.8,13.2
189,Edelweiss Large Cap Fund,500,5000,0.93,₹399Cr,10,Bharat Lahoti,3.25,0.95,15.71,0.93,1.4,6,Edelweiss Mutual Fund,4,Equity,Large Cap Mutual Funds,4.9,26.0,12.8
190,Edelweiss Liquid Fund,500,5000,0.15,"₹1,543Cr",10,Rahul Dedhia,6.74,1.47,0.38,0.8,1.08,3,Edelweiss Mutual Fund,4,Debt,Liquid Mutual Funds,5.6,4.4,5.4
191,Edelweiss Long Term Equity Fund,500,500,0.69,₹209Cr,10,Trideep Bhattacharya,3.18,0.61,15.73,0.9,1.39,6,Edelweiss Mutual Fund,3,Equity,ELSS Mutual Funds,0.9,25.6,10.2
192,Edelweiss Mid Cap Fund,500,5000,0.57,"₹2,530Cr",10,Trideep Bhattacharya,3.85,2.21,17.63,0.96,1.73,6,Edelweiss Mutual Fund,4,Equity,Mid Cap Mutual Funds,4.9,35.5,14.0
193,Edelweiss Money Market Fund,500,5000,0.26,₹346Cr,10,Dhawal Dalal,2.05,2.56,0.6,1.45,1.03,2,Edelweiss Mutual Fund,1,Debt,Money Market Funds,4.9,4.7,7.3
194,Edelweiss Overnight Fund,500,5000,0.1,₹480Cr,4,Rahul Dedhia,0.08,0.63,0.33,0.47,0.01,1,Edelweiss Mutual Fund,2,Debt,Overnight Mutual Funds,5.3,3.9,
195,Edelweiss Recently Listed Ipo Fund,500,5000,0.61,₹859Cr,5,Bhavesh Jain,1.63,0.04,17.77,0.83,1.09,6,Edelweiss Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,-13.8,24.3,10.9
196,Edelweiss Small Cap Fund,500,5000,0.6,"₹1,458Cr",4,Sahil Shah,4.17,8.58,17.99,0.81,1.98,6,Edelweiss Mutual Fund,4,Equity,Small Cap Mutual Funds,3.0,42.5,
197,Edelweiss Us Value Equity Offshore Fund,500,5000,1.43,₹90Cr,10,Bhavesh Jain,2.17,-,16.38,-,1.03,6,Edelweiss Mutual Fund,0,Other,FoFs Overseas,2.0,23.8,11.5
198,Franklin Build India Fund,500,5000,1.3,"₹1,184Cr",10,Ajay Argal,3.18,8.05,19.06,0.71,1.6,6,Franklin Templeton Mutual Fund,3,Equity,Sectoral / Thematic Mutual Funds,16.0,36.1,13.3
199,Franklin India Banking & Psu Debt Fund,500,5000,0.16,₹712Cr,9,Umesh Sharma,1.06,3.72,1.74,1.87,0.7,2,Franklin Templeton Mutual Fund,2,Debt,Banking and PSU Mutual Funds,4.2,6.1,7.2
200,Franklin India Bluechip Fund,500,5000,1.01,"₹6,205Cr",10,Anand Radhakrishnan,2.72,0.71,16.83,0.92,1.28,6,Franklin Templeton Mutual Fund,2,Equity,Large Cap Mutual Funds,-1.0,25.1,9.7
201,Franklin India Corporate Debt Fund,500,5000,0.21,₹748Cr,10,Santosh Kamath,1.65,1.68,1.8,0.56,1.02,2,Franklin Templeton Mutual Fund,3,Debt,Corporate Bond Mutual Funds,4.4,6.3,7.0
202,Franklin India Debt Hybrid Fund,500,5000,0.57,₹246Cr,10,Rajasa Kakulavarapu,2.98,1.26,3.89,0.59,1.42,4,Franklin Templeton Mutual Fund,3,Hybrid,Conservative Hybrid Mutual Funds,5.1,9.8,7.0
203,Franklin India Dynamic Asset Allocation Fofs-Dir-G,500,5000,0.46,"₹1,103Cr",10,Rajasa Kakulavarapu,1.87,8.57,10.19,0.3,1.39,4,Franklin Templeton Mutual Fund,3,Other,FoFs Domestic,5.9,18.2,9.2
204,Franklin India Equity Advantage Fund,500,5000,1.37,"₹2,556Cr",10,R Janakiraman,3.41,2.99,17.49,0.96,1.43,6,Franklin Templeton Mutual Fund,2,Equity,Large & Mid Cap Funds,-0.9,27.7,9.2
205,Franklin India Equity Hybrid Fund,500,5000,1.2,"₹1,347Cr",10,Rajasa Kakulavarapu,3.24,3.49,12.1,0.8,1.51,6,Franklin Templeton Mutual Fund,3,Hybrid,Aggressive Hybrid Mutual Funds,5.3,22.5,11.0
206,Franklin India Equity Savings Fund,500,5000,0.71,₹153Cr,5,Rajasa Kakulavarapu,3.01,3.39,6.61,0.94,1.53,3,Franklin Templeton Mutual Fund,3,Hybrid,Equity Savings Mutual Funds,4.8,14.0,
207,Franklin India Feeder – Franklin U.S. Opp.-Dir Growth,500,5000,0.72,"₹2,880Cr",10,Sandeep Manam,0.95,-,23.08,-,0.5,6,Franklin Templeton Mutual Fund,0,Other,FoFs Overseas,-12.1,17.4,11.6
208,Franklin India Flexi Cap Fund,500,5000,1.1,"₹9,989Cr",10,Anand Radhakrishnan,3.27,4.83,16.63,0.93,1.6,6,Franklin Templeton Mutual Fund,4,Equity,Flexi Cap Funds,3.8,31.1,12.0
209,Franklin India Floating Rate Fund,500,1000,0.21,₹311Cr,10,Pallab Roy,2.6,2.33,0.84,0.75,1.58,2,Franklin Templeton Mutual Fund,4,Debt,Floater Mutual Funds,5.8,5.6,6.2
210,Franklin India Focused Equity Fund,500,5000,1.16,"₹8,022Cr",10,Ajay Argal,3.17,3.6,18.62,0.98,1.43,6,Franklin Templeton Mutual Fund,4,Equity,Focused Funds,5.1,30.9,12.9
211,Franklin India G-Sec Fund,500,5000,0.57,₹121Cr,10,Sachin Padwal Desai,0.04,-0.49,2.35,0.52,0.04,3,Franklin Templeton Mutual Fund,2,Debt,Gilt Mutual Funds,3.5,4.1,6.3
212,Franklin India Liquid Fund,500,5000,0.13,"₹1,511Cr",10,Pallab Roy,4.44,1.34,0.38,0.74,0.9,2,Franklin Templeton Mutual Fund,3,Debt,Liquid Mutual Funds,5.6,4.3,5.4
213,Franklin India Multi-Asset Solution Fund,500,5000,0.44,₹45Cr,8,Rajasa Kakulavarapu,0.34,5.14,12.82,-0.01,0.39,4,Franklin Templeton Mutual Fund,1,Other,FoFs Domestic,4.1,8.7,5.3
214,Franklin India Nse Nifty 50 Index Fund,500,5000,0.24,₹482Cr,10,Varun Sharma,3.44,-0.79,16.58,0.99,1.3,6,Franklin Templeton Mutual Fund,3,Other,Index Funds,0.9,25.6,11.6
215,Franklin India Opportunities Fund,500,5000,1.79,₹657Cr,10,R Janakiraman,3.45,4.7,16.65,0.92,1.58,6,Franklin Templeton Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,7.9,31.0,11.5
216,Franklin India Overnight Fund,500,5000,0.1,₹152Cr,4,Pallab Roy,-0.89,0.49,0.35,0.41,-0.18,1,Franklin Templeton Mutual Fund,2,Debt,Overnight Mutual Funds,5.3,3.8,
217,Franklin India Prima Fund,500,5000,1.06,"₹7,359Cr",10,R Janakiraman,3.06,-4.41,17.67,0.96,1.36,6,Franklin Templeton Mutual Fund,2,Equity,Mid Cap Mutual Funds,4.5,26.6,10.0
218,Franklin India Savings Fund,500,5000,0.1,"₹1,084Cr",10,Umesh Sharma,3.34,2.67,0.63,1.29,1.5,2,Franklin Templeton Mutual Fund,3,Debt,Money Market Funds,5.3,5.2,6.1
219,Franklin India Smaller Companies Fund,500,5000,1.03,"₹7,308Cr",10,R Janakiraman,3.36,7.03,17.83,0.81,1.91,6,Franklin Templeton Mutual Fund,2,Equity,Small Cap Mutual Funds,10.5,38.8,11.2
220,Franklin India Taxshield – Direct Growth,500,500,1.12,"₹4,584Cr",10,R Janakiraman,3.21,2.88,16.91,0.95,1.49,6,Franklin Templeton Mutual Fund,3,Equity,ELSS Mutual Funds,4.9,29.3,11.4
221,Franklin India Technology Fund,500,5000,1.22,₹712Cr,10,Anand Radhakrishnan,1.91,3.66,19.22,0.73,1.24,6,Franklin Templeton Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,-11.9,29.9,15.9
222,Hdfc Arbitrage Fund,100,100,0.43,"₹5,886Cr",9,Arun Agarwal,0.99,1.24,0.7,0.5,0.82,1,HDFC Mutual Fund,2,Hybrid,Arbitrage Mutual Funds,5.6,4.5,5.2
223,Hdfc Balanced Advantage Fund,100,100,0.88,"₹51,042Cr",10,Gopal Agrawal,3.38,7.38,14.82,0.88,1.6,6,HDFC Mutual Fund,4,Hybrid,Dynamic Asset Allocation or Balanced Advantage,14.4,29.3,12.9
224,Hdfc Banking And Psu Debt Fund,100,100,0.39,"₹4,805Cr",9,Anil Bamboli,1.74,3.4,2.02,1.06,0.98,2,HDFC Mutual Fund,4,Debt,Banking and PSU Mutual Funds,4.3,6.8,7.2
225,Hdfc Capital Builder Value Fund,100,100,1.04,"₹5,227Cr",10,Gopal Agrawal,3.26,3.69,16.41,0.95,1.53,6,HDFC Mutual Fund,2,Equity,Value Funds,-0.7,33.7,11.3
226,Hdfc Children’S Gift Fund,100,100,0.96,"₹6,157Cr",10,Chirag Setalvad,4.11,7.62,11.58,0.76,1.87,6,HDFC Mutual Fund,0,Solution Oriented,Childrens Funds,10.5,26.8,12.9
227,Hdfc Corporate Bond Fund,100,100,0.32,"₹23,486Cr",10,Anupam Joshi,1.59,1.91,2.19,0.94,0.99,3,HDFC Mutual Fund,3,Debt,Corporate Bond Mutual Funds,4.1,6.9,7.3
228,Hdfc Credit Risk Debt Fund,100,100,0.95,"₹8,437Cr",9,Shobhit Mehrotra,1.5,2.63,2.56,-0.52,1.3,4,HDFC Mutual Fund,3,Debt,Credit Risk Funds,4.6,8.0,7.7
229,Hdfc Dynamic Debt Fund,100,100,0.49,₹527Cr,10,Anil Bamboli,2.3,2.71,3.62,0.55,0.79,3,HDFC Mutual Fund,4,Debt,Dynamic Bond,4.6,7.3,6.1
230,Hdfc Dynamic Pe Ratio Fund,100,100,0.22,₹30Cr,10,Srinivasan Ramamurthy,4.11,6.38,9.63,0.6,1.8,5,HDFC Mutual Fund,4,Other,FoFs Domestic,8.6,21.9,11.1
231,Hdfc Equity Savings Fund,100,100,1.1,"₹2,524Cr",10,Anil Bamboli,3.67,4.42,7.09,0.98,1.61,4,HDFC Mutual Fund,4,Hybrid,Equity Savings Mutual Funds,5.1,16.0,8.8
232,Hdfc Flexi Cap Fund,100,100,1.0,"₹31,672Cr",10,Roshi Jain,3.4,5.15,18.4,1,1.56,6,HDFC Mutual Fund,4,Equity,Flexi Cap Funds,12.4,34.5,14.0
233,Hdfc Floating Rate Debt Fund,100,100,0.26,"₹14,785Cr",10,Shobhit Mehrotra,3.33,3.39,1.24,0.9,1.76,3,HDFC Mutual Fund,4,Debt,Floater Mutual Funds,5.6,6.5,6.9
234,Hdfc Focused 30 Fund,100,100,0.54,"₹3,609Cr",10,Roshi Jain,3.93,7.78,17.19,0.92,1.71,6,HDFC Mutual Fund,3,Equity,Focused Funds,16.0,35.8,11.9
235,Hdfc Gilt Fund,100,100,0.46,"₹1,739Cr",10,Anil Bamboli,0.43,0.23,2.78,0.64,0.34,3,HDFC Mutual Fund,2,Debt,Gilt Mutual Funds,3.6,4.9,6.4
