,Scheme_Name,Min_Sip,Min_Lumpsum,Expense_Ratio,Fund_Size_Cr,Fund_Age_Yr,Fund_Manager,Sortino,Alpha,Sd,Beta,Sharpe,Risk_Level,Amc_Name,Rating,Category,Sub_Category,Returns_1Yr,Returns_3Yr,Returns_5Yr,Score,fund_score,rank,composite_score,Rank
193,Edelweiss Money Market Fund,500,5000,0.26,₹346Cr,10,Dhawal Dalal,2.05,2.56,0.6,1.45,1.03,2,Edelweiss Mutual Fund,1,Debt,Money Market Funds,4.9,4.9,7.3,2.9425000000000003,0.24367638779974635,492.0,0.400309398934072,291.0
194,Edelweiss Overnight Fund,500,5000,0.1,₹480Cr,4,Rahul Dedhia,0.08,0.63,0.33,0.47,0.01,1,Edelweiss Mutual Fund,2,Debt,Overnight Mutual Funds,5.3,5.3,8.9,3.0529999999999995,0.2080508773107626,700.0,0.3906252036536857,390.0
195,Edelweiss Recently Listed Ipo Fund,500,5000,0.61,₹859Cr,5,Bhavesh Jain,1.63,0.04,17.77,0.83,1.09,6,Edelweiss Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,-13.8,-13.8,10.9,2.5355,0.22779270057312043,597.0,0.3476023234346333,658.0
196,Edelweiss Small Cap Fund,500,5000,0.6,"₹1,458Cr",4,Sahil Shah,4.17,8.58,17.99,0.81,1.98,6,Edelweiss Mutual Fund,4,Equity,Small Cap Mutual Funds,3.0,3.0,8.9,4.412,0.31767782790143806,108.0,0.41817977052918154,186.0
197,Edelweiss Us Value Equity Offshore Fund,500,5000,1.43,₹90Cr,10,Bhavesh Jain,2.17,1.855,16.38,0.86,1.03,6,Edelweiss Mutual Fund,0,Other,Fofs Overseas,2.0,2.0,11.5,3.0934999999999993,0.24808365499203372,464.0,0.33734682948974487,701.0
198,Franklin Build India Fund,500,5000,1.3,"₹1,184Cr",10,Ajay Argal,3.18,8.05,19.06,0.71,1.6,6,Franklin Templeton Mutual Fund,3,Equity,Sectoral / Thematic Mutual Funds,16.0,16.0,13.3,5.3165000000000004,0.34079599786046194,66.0,0.4212465153624302,156.0
199,Franklin India Banking & Psu Debt Fund,500,5000,0.16,₹712Cr,9,Umesh Sharma,1.06,3.72,1.74,1.87,0.7,2,Franklin Templeton Mutual Fund,2,Debt,Banking And Psu Mutual Funds,4.2,4.2,7.2,3.1555,0.22942611667959356,585.0,0.39589931892957114,331.0
200,Franklin India Bluechip Fund,500,5000,1.01,"₹6,205Cr",10,Anand Radhakrishnan,2.72,0.71,16.83,0.92,1.28,6,Franklin Templeton Mutual Fund,2,Equity,Large Cap Mutual Funds,-1.0,-1.0,9.7,2.6699999999999995,0.2449268448549553,485.0,0.3529698751158219,639.0
201,Franklin India Corporate Debt Fund,500,5000,0.21,₹748Cr,10,Santosh Kamath,1.65,1.68,1.8,0.56,1.02,2,Franklin Templeton Mutual Fund,3,Debt,Corporate Bond Mutual Funds,4.4,4.4,7.0,2.9615,0.23611435606347142,532.0,0.3965027125069223,324.0
202,Franklin India Debt Hybrid Fund,500,5000,0.57,₹246Cr,10,Rajasa Kakulavarapu,2.98,1.26,3.89,0.59,1.42,4,Franklin Templeton Mutual Fund,3,Hybrid,Conservative Hybrid Mutual Funds,5.1,5.1,7.0,2.8335,0.2500891535204508,451.0,0.3856532051965942,423.0
203,Franklin India Dynamic Asset Allocation Fofs-Dir-G,500,5000,0.46,"₹1,103Cr",10,Rajasa Kakulavarapu,1.87,8.57,10.19,0.3,1.39,4,Franklin Templeton Mutual Fund,3,Other,Fofs Domestic,5.9,5.9,9.2,4.6545000000000005,0.292840676454645,185.0,0.4159194503080513,200.0
204,Franklin India Equity Advantage Fund,500,5000,1.37,"₹2,556Cr",10,R Janakiraman,3.41,2.99,17.49,0.96,1.43,6,Franklin Templeton Mutual Fund,2,Equity,Large & Mid Cap Funds,-0.9,-0.9,9.2,2.953,0.25018456679243084,450.0,0.3322093332393886,719.0
205,Franklin India Equity Hybrid Fund,500,5000,1.2,"₹1,347Cr",10,Rajasa Kakulavarapu,3.24,3.49,12.1,0.8,1.51,6,Franklin Templeton Mutual Fund,3,Hybrid,Aggressive Hybrid Mutual Funds,5.3,5.3,11.0,4.045,0.2847148467328975,233.0,0.37584501882031585,498.0
206,Franklin India Equity Savings Fund,500,5000,0.71,₹153Cr,5,Rajasa Kakulavarapu,3.01,3.39,6.61,0.94,1.53,3,Franklin Templeton Mutual Fund,3,Hybrid,Equity Savings Mutual Funds,4.8,4.8,8.9,3.6910000000000007,0.2750192734330589,299.0,0.3943623393900084,351.0
207,Franklin India Feeder – Franklin U.S. Opp.-Dir Growth,500,5000,0.72,"₹2,880Cr",10,Sandeep Manam,0.95,1.855,23.08,0.86,0.5,6,Franklin Templeton Mutual Fund,0,Other,Fofs Overseas,-12.1,-12.1,11.6,2.718,0.2159015942505944,661.0,0.3355878055359822,708.0
208,Franklin India Flexi Cap Fund,500,5000,1.1,"₹9,989Cr",10,Anand Radhakrishnan,3.27,4.83,16.63,0.93,1.6,6,Franklin Templeton Mutual Fund,4,Equity,Flexi Cap Funds,3.8,3.8,12.0,4.553,0.30189221367883196,146.0,0.39043372334136617,393.0
209,Franklin India Floating Rate Fund,500,1000,0.21,₹311Cr,10,Pallab Roy,2.6,2.33,0.84,0.75,1.58,2,Franklin Templeton Mutual Fund,4,Debt,Floater Mutual Funds,5.8,5.8,6.2,3.1520000000000006,0.25924010722744767,394.0,0.4116339332372425,220.0
210,Franklin India Focused Equity Fund,500,5000,1.16,"₹8,022Cr",10,Ajay Argal,3.17,3.6,18.62,0.98,1.43,6,Franklin Templeton Mutual Fund,4,Equity,Focused Funds,5.1,5.1,12.9,4.437999999999999,0.29965980783324986,156.0,0.3904210453798313,394.0
211,Franklin India G-Sec Fund,500,5000,0.57,₹121Cr,10,Sachin Padwal Desai,0.04,-0.49,2.35,0.52,0.04,3,Franklin Templeton Mutual Fund,2,Debt,Gilt Mutual Funds,3.5,3.5,6.3,1.9279999999999997,0.166451562489298,789.0,0.3319751203978733,720.0
212,Franklin India Liquid Fund,500,5000,0.13,"₹1,511Cr",10,Pallab Roy,4.44,1.34,0.38,0.74,0.9,2,Franklin Templeton Mutual Fund,3,Debt,Liquid Mutual Funds,5.6,5.6,5.4,2.4555,0.23919896202157373,513.0,0.4005534542015252,289.0
213,Franklin India Multi-Asset Solution Fund,500,5000,0.44,₹45Cr,8,Rajasa Kakulavarapu,0.34,5.14,12.82,-0.01,0.39,4,Franklin Templeton Mutual Fund,1,Other,Fofs Domestic,4.1,4.1,5.3,2.1835,0.19713136316944257,740.0,0.3509969076180594,643.0
214,Franklin India Nse Nifty 50 Index Fund,500,5000,0.24,₹482Cr,10,Varun Sharma,3.44,-0.79,16.58,0.99,1.3,6,Franklin Templeton Mutual Fund,3,Other,Index Funds,0.9,0.9,11.6,3.1415000000000006,0.28415765055636666,236.0,0.4289541579895183,115.0
215,Franklin India Opportunities Fund,500,5000,1.79,₹657Cr,10,R Janakiraman,3.45,4.7,16.65,0.92,1.58,6,Franklin Templeton Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,7.9,7.9,11.5,3.738,0.28755453319835356,218.0,0.34766099747632856,657.0
216,Franklin India Overnight Fund,500,5000,0.1,₹152Cr,4,Pallab Roy,-0.89,0.49,0.35,0.41,-0.18,1,Franklin Templeton Mutual Fund,2,Debt,Overnight Mutual Funds,5.3,5.3,8.9,2.9889999999999994,0.1942830352764316,749.0,0.38261224654012904,450.0
217,Franklin India Prima Fund,500,5000,1.06,"₹7,359Cr",10,R Janakiraman,3.06,-4.41,17.67,0.96,1.36,6,Franklin Templeton Mutual Fund,2,Equity,Mid Cap Mutual Funds,4.5,4.5,10.0,1.7054999999999998,0.24176861493091162,505.0,0.36293950034412154,590.0
218,Franklin India Savings Fund,500,5000,0.1,"₹1,084Cr",10,Umesh Sharma,3.34,2.67,0.63,1.29,1.5,2,Franklin Templeton Mutual Fund,3,Debt,Money Market Funds,5.3,5.3,6.1,3.0130000000000003,0.2630777298703837,365.0,0.4194236775215616,173.0
219,Franklin India Smaller Companies Fund,500,5000,1.03,"₹7,308Cr",10,R Janakiraman,3.36,7.03,17.83,0.81,1.91,6,Franklin Templeton Mutual Fund,2,Equity,Small Cap Mutual Funds,10.5,10.5,11.2,4.4645,0.3270176059057699,91.0,0.41745768390311194,191.0
220,Franklin India Taxshield – Direct Growth,500,500,1.12,"₹4,584Cr",10,R Janakiraman,3.21,2.88,16.91,0.95,1.49,6,Franklin Templeton Mutual Fund,3,Equity,Elss Mutual Funds,4.9,4.9,11.4,3.7949999999999995,0.2862903336318179,224.0,0.3823940249905312,453.0
221,Franklin India Technology Fund,500,5000,1.22,₹712Cr,10,Anand Radhakrishnan,1.91,3.66,19.22,0.73,1.24,6,Franklin Templeton Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,-11.9,-11.9,15.9,4.6915,0.2826475814152839,245.0,0.3538357426124143,631.0
222,Hdfc Arbitrage Fund,100,100,0.43,"₹5,886Cr",9,Arun Agarwal,0.99,1.24,0.7,0.5,0.82,1,Hdfc Mutual Fund,2,Hybrid,Arbitrage Mutual Funds,5.6,5.6,5.2,2.1904999999999997,0.2032501320776422,723.0,0.363031301725276,589.0
223,Hdfc Balanced Advantage Fund,100,100,0.88,"₹51,042Cr",10,Gopal Agrawal,3.38,7.38,14.82,0.88,1.6,6,Hdfc Mutual Fund,4,Hybrid,Dynamic Asset Allocation Or Balanced Advantage,14.4,14.4,12.9,5.437000000000001,0.3433113184286601,60.0,0.4445987569407984,64.0
224,Hdfc Banking And Psu Debt Fund,100,100,0.39,"₹4,805Cr",9,Anil Bamboli,1.74,3.4,2.02,1.06,0.98,2,Hdfc Mutual Fund,4,Debt,Banking And Psu Mutual Funds,4.3,4.3,7.2,3.462500000000001,0.2383607644217723,519.0,0.3868399909424364,415.0
225,Hdfc Capital Builder Value Fund,100,100,1.04,"₹5,227Cr",10,Gopal Agrawal,3.26,3.69,16.41,0.95,1.53,6,Hdfc Mutual Fund,2,Equity,Value Funds,-0.7,-0.7,11.3,3.814,0.28272839863599875,243.0,0.37466833822639495,508.0
226,Hdfc Children’S Gift Fund,100,100,0.96,"₹6,157Cr",10,Chirag Setalvad,4.11,7.62,11.58,0.76,1.87,6,Hdfc Mutual Fund,0,Solution Oriented,Childrens Funds,10.5,10.5,12.9,5.103,0.3503707288105778,49.0,0.4373372688044043,81.0
227,Hdfc Corporate Bond Fund,100,100,0.32,"₹23,486Cr",10,Anupam Joshi,1.59,1.91,2.19,0.94,0.99,3,Hdfc Mutual Fund,3,Debt,Corporate Bond Mutual Funds,4.1,4.1,7.3,3.0474999999999994,0.23459081218259256,548.0,0.3898248902103303,399.0
228,Hdfc Credit Risk Debt Fund,100,100,0.95,"₹8,437Cr",9,Shobhit Mehrotra,1.5,2.63,2.56,-0.52,1.3,4,Hdfc Mutual Fund,3,Debt,Credit Risk Funds,4.6,4.6,7.7,3.3965,0.2385729640813872,517.0,0.3541885664186464,630.0
229,Hdfc Dynamic Debt Fund,100,100,0.49,₹527Cr,10,Anil Bamboli,2.3,2.71,3.62,0.55,0.79,3,Hdfc Mutual Fund,4,Debt,Dynamic Bond,4.6,4.6,6.1,2.8970000000000002,0.2218438433442267,634.0,0.368372914549064,557.0
230,Hdfc Dynamic Pe Ratio Fund,100,100,0.22,₹30Cr,10,Srinivasan Ramamurthy,4.11,6.38,9.63,0.6,1.8,5,Hdfc Mutual Fund,4,Other,Fofs Domestic,8.6,8.6,11.1,5.043499999999998,0.34181953411712235,64.0,0.46936910585339525,27.0
231,Hdfc Equity Savings Fund,100,100,1.1,"₹2,524Cr",10,Anil Bamboli,3.67,4.42,7.09,0.98,1.61,4,Hdfc Mutual Fund,4,Hybrid,Equity Savings Mutual Funds,5.1,5.1,8.8,3.9875,0.2763008008053845,284.0,0.3716329342590321,534.0
232,Hdfc Flexi Cap Fund,100,100,1.0,"₹31,672Cr",10,Roshi Jain,3.4,5.15,18.4,1.0,1.56,6,Hdfc Mutual Fund,4,Equity,Flexi Cap Funds,12.4,12.4,14.0,5.122000000000001,0.3375208033237833,75.0,0.43520889940544566,92.0
233,Hdfc Floating Rate Debt Fund,100,100,0.26,"₹14,785Cr",10,Shobhit Mehrotra,3.33,3.39,1.24,0.9,1.76,3,Hdfc Mutual Fund,4,Debt,Floater Mutual Funds,5.6,5.6,6.9,3.58,0.27913722983410033,269.0,0.4208068886541556,162.0
234,Hdfc Focused 30 Fund,100,100,0.54,"₹3,609Cr",10,Roshi Jain,3.93,7.78,17.19,0.92,1.71,6,Hdfc Mutual Fund,3,Equity,Focused Funds,16.0,16.0,11.9,4.9855,0.3540856013151535,45.0,0.47116148507502587,25.0
235,Hdfc Gilt Fund,100,100,0.46,"₹1,739Cr",10,Anil Bamboli,0.43,0.23,2.78,0.64,0.34,3,Hdfc Mutual Fund,2,Debt,Gilt Mutual Funds,3.6,3.6,6.4,2.1399999999999997,0.18577782798556827,767.0,0.3502645214896236,648.0
236,Hdfc Gold Fund,100,100,0.18,"₹1,402Cr",10,Nirman Morakhia,1.03,-0.5,14.19,1.01,0.47,5,Hdfc Mutual Fund,5,Other,Fofs Domestic,14.2,14.2,13.4,3.994999999999999,0.2797352831714949,264.0,0.4546941234589282,44.0
237,Hdfc Housing Opportunities Fund,100,100,1.28,"₹1,081Cr",5,Rakesh Vyas,2.5,0.23,19.34,1.0,1.23,6,Hdfc Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,9.8,9.8,7.9,1.581,0.23471875507873646,546.0,0.34651922539077007,664.0
238,Hdfc Hybrid Debt Fund,100,100,1.33,"₹2,695Cr",10,Shobhit Mehrotra,3.46,3.73,4.97,0.69,1.74,4,Hdfc Mutual Fund,3,Hybrid,Conservative Hybrid Mutual Funds,6.0,6.0,8.4,3.7145,0.2694458067987525,327.0,0.3554521544040864,622.0
239,Hdfc Hybrid Equity Fund,100,100,1.09,"₹18,729Cr",10,Chirag Setalvad,3.42,4.86,13.03,0.87,1.6,6,Hdfc Mutual Fund,3,Hybrid,Aggressive Hybrid Mutual Funds,7.7,7.7,11.3,4.3825,0.30343928631884265,138.0,0.39687504746650637,321.0
240,Hdfc Income Fund,100,100,0.51,₹528Cr,10,Shobhit Mehrotra,0.43,0.51,2.53,1.28,0.34,3,Hdfc Mutual Fund,3,Debt,Medium To Long Duration Funds,3.8,3.8,6.1,2.234,0.18233072459762134,775.0,0.3461787497783624,668.0
241,Hdfc Index Fund,100,100,0.2,"₹4,210Cr",10,Nirman Morakhia,3.48,-0.64,16.76,1.0,1.31,6,Hdfc Mutual Fund,4,Other,Index Funds,2.4,2.4,12.8,3.676,0.2997698695959264,155.0,0.4451986615096678,61.0
242,Hdfc Index Fund,100,100,0.2,"₹7,457Cr",10,Nirman Morakhia,3.24,-1.01,17.02,1.01,1.28,6,Hdfc Mutual Fund,3,Other,Index Funds,0.9,0.9,12.0,3.1925,0.2858612471007392,229.0,0.43338083455378074,96.0
243,Hdfc Infrastructure Fund,100,100,1.75,₹593Cr,10,Rakesh Vyas,3.12,2.65,23.69,0.88,1.3,6,Hdfc Mutual Fund,1,Equity,Sectoral / Thematic Mutual Funds,16.5,16.5,5.3,1.2139999999999997,0.22653098493708132,611.0,0.3178148977114321,757.0
244,Hdfc Large And Mid Cap Fund,100,100,1.03,"₹7,897Cr",10,Gopal Agrawal,3.56,4.97,17.78,0.98,1.55,6,Hdfc Mutual Fund,3,Equity,Large & Mid Cap Funds,6.3,6.3,12.8,4.6045,0.3158062160820183,115.0,0.4081101049858024,240.0
245,Hdfc Liquid Fund,300,5000,0.2,"₹49,008Cr",10,Anupam Joshi,3.68,1.34,0.38,0.78,0.79,2,Hdfc Mutual Fund,2,Debt,Liquid Mutual Funds,5.6,5.6,5.3,2.2479999999999998,0.22743700913655465,598.0,0.389617574089105,400.0
246,Hdfc Low Duration Fund,100,100,0.43,"₹14,779Cr",10,Anupam Joshi,3.31,2.82,1.11,0.67,1.73,2,Hdfc Mutual Fund,4,Debt,Low Duration Funds,5.4,5.4,6.7,3.4095,0.269893616167606,323.0,0.4047196934821868,256.0
247,Hdfc Medium Term Debt Fund,100,100,0.58,"₹3,538Cr",10,Shobhit Mehrotra,1.34,2.14,2.33,0.78,1.01,4,Hdfc Mutual Fund,3,Debt,Medium Duration Funds,4.1,4.1,7.4,3.1155,0.22923870008258787,587.0,0.3713745969091477,535.0
248,Hdfc Mid-Cap Opportunities Fund,100,100,0.95,"₹35,009Cr",10,Chirag Setalvad,3.64,2.45,16.86,0.93,1.77,6,Hdfc Mutual Fund,3,Equity,Mid Cap Mutual Funds,11.9,11.9,13.1,4.287,0.3287064795061603,87.0,0.4331662496575187,97.0
249,Hdfc Money Market Fund,100,100,0.21,"₹15,176Cr",10,Vikas Agrawal,4.85,3.08,0.69,1.33,1.89,3,Hdfc Mutual Fund,3,Debt,Money Market Funds,5.6,5.6,6.3,3.2224999999999997,0.2882209159270614,213.0,0.42852497780205273,118.0
250,Hdfc Multi-Asset Fund,100,100,0.88,"₹1,643Cr",10,Srinivasan Ramamurthy,4.21,5.06,11.41,0.72,1.6,6,Hdfc Mutual Fund,4,Hybrid,Multi Asset Allocation Mutual Funds,6.9,6.9,10.9,4.551500000000001,0.30996911282130063,124.0,0.4098353399426812,234.0
251,Hdfc Overnight Fund,300,100,0.1,"₹20,146Cr",10,Anil Bamboli,-0.53,0.53,0.35,0.42,-0.09,1,Hdfc Mutual Fund,2,Debt,Overnight Mutual Funds,5.3,5.3,4.6,1.7245000000000001,0.16066116926344298,795.0,0.35450205818277614,628.0
252,Hdfc Retirement Savings Fund,100,100,0.78,"₹2,696Cr",7,Srinivasan Ramamurthy,4.32,9.26,15.16,0.85,1.92,6,Hdfc Mutual Fund,5,Solution Oriented,Retirement Funds,11.6,11.6,14.8,6.586500000000001,0.3830759509208733,24.0,0.471248517710853,24.0
253,Hdfc Retirement Savings Fund,100,100,1.03,₹932Cr,7,Srinivasan Ramamurthy,3.27,3.03,3.23,0.43,1.88,6,Hdfc Mutual Fund,4,Solution Oriented,Retirement Funds,8.0,8.0,12.3,5.0375,0.31700516573347814,112.0,0.41243068332382327,214.0
254,Hdfc Retirement Savings Fund,100,100,1.0,₹140Cr,7,Shobhit Mehrotra,4.39,6.37,11.43,0.73,1.74,4,Hdfc Mutual Fund,4,Solution Oriented,Retirement Funds,6.0,6.0,7.8,3.9039999999999995,0.288107689161546,214.0,0.38151717970337534,461.0
255,Hdfc Short Term Debt Fund,100,100,0.29,"₹11,028Cr",10,Anil Bamboli,2.33,4.24,1.87,1.45,1.23,3,Hdfc Mutual Fund,3,Debt,Short Duration Funds,4.7,4.7,7.3,3.5535,0.2576914433482611,400.0,0.40525747497454573,253.0
256,Hdfc Small Cap Fund,100,100,0.8,"₹14,648Cr",10,Chirag Setalvad,3.75,6.54,19.61,0.91,1.88,6,Hdfc Mutual Fund,3,Equity,Small Cap Mutual Funds,12.5,12.5,13.5,5.118,0.35669595358156486,41.0,0.45648911432120315,42.0
257,Hdfc Tax Saver Fund,500,500,1.15,"₹9,723Cr",10,Roshi Jain,3.71,4.47,15.3,0.88,1.64,6,Hdfc Mutual Fund,2,Equity,Elss Mutual Funds,10.0,10.0,10.3,3.7455000000000003,0.2986035975713282,159.0,0.39278011110127997,371.0
258,Hdfc Top 100 Fund,100,100,1.11,"₹22,139Cr",10,Rahul Baijal,3.3,1.75,17.08,0.97,1.39,6,Hdfc Mutual Fund,2,Equity,Large Cap Mutual Funds,6.6,6.6,11.9,3.539999999999999,0.28690423295475165,222.0,0.3879448116427584,409.0
259,Hdfc Ultra Short Term Fund,100,100,0.34,"₹13,303Cr",5,Anil Bamboli,4.46,2.7,0.64,1.1,1.93,3,Hdfc Mutual Fund,4,Debt,Ultra Short Duration Funds,5.4,5.4,8.9,4.092,0.30612564150051175,131.0,0.4364059496121219,84.0
260,Hsbc Aggressive Hybrid Fund,500,5000,0.87,"₹4,636Cr",10,Shriram Ramanathan,2.41,0.57,12.27,0.81,1.26,6,Hsbc Mutual Fund,2,Hybrid,Aggressive Hybrid Mutual Funds,-1.2,-1.2,8.1,2.398499999999999,0.23010158734577196,580.0,0.3489998821948724,652.0
261,Hsbc Arbitrage Fund,500,5000,0.29,"₹2,344Cr",9,Ritesh Jain,1.54,1.63,0.7,0.63,1.12,1,Hsbc Mutual Fund,4,Hybrid,Arbitrage Mutual Funds,5.4,5.4,5.5,2.719,0.22451732728873994,624.0,0.3843273704642341,433.0
262,Hsbc Asia Pacific (Ex Japan) Dyf – Direct Growth,500,5000,1.29,₹8Cr,9,Sonal Gupta,0.87,1.855,17.08,0.86,0.48,6,Hsbc Mutual Fund,0,Other,Fofs Overseas,-4.2,-4.2,5.7,1.2154999999999996,0.15997797357188193,796.0,0.27131692270633423,807.0
263,Hsbc Balanced Advantage Fund,500,5000,0.78,"₹1,511Cr",10,Ritesh Jain,2.95,0.89,7.21,0.45,1.27,4,Hsbc Mutual Fund,3,Hybrid,Dynamic Asset Allocation Or Balanced Advantage,3.5,3.5,8.0,2.86,0.24494372873727555,484.0,0.3693049717622053,549.0
264,Hsbc Banking And Psu Debt Fund,500,5000,0.23,"₹3,779Cr",10,Jalpan Shah,0.64,5.62,2.39,3.36,0.47,3,Hsbc Mutual Fund,1,Debt,Banking And Psu Mutual Funds,2.2,2.2,6.5,3.019,0.21214484203058873,684.0,0.37795842580753924,485.0
265,Hsbc Business Cycles Fund,500,5000,1.42,₹535Cr,9,Venugopal Manghat,3.13,2.69,17.41,0.97,1.46,6,Hsbc Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,7.0,7.0,8.7,2.4499999999999993,0.2554834988967519,419.0,0.34527873414169297,674.0
266,Hsbc Conservative Hybrid Fund,500,5000,1.34,₹122Cr,10,Ritesh Jain,2.3,0.76,4.75,0.74,1.28,4,Hsbc Mutual Fund,3,Hybrid,Conservative Hybrid Mutual Funds,2.3,2.3,7.5,2.7665000000000006,0.21978844245530463,641.0,0.32006597495446276,749.0
267,Hsbc Corporate Bond Fund,500,5000,0.35,₹157Cr,2,Ritesh Jain,0.44,0.67,2.47,1.09,0.39,2,Hsbc Mutual Fund,2,Debt,Corporate Bond Mutual Funds,1.7,1.7,13.3,4.306500000000001,0.2512850964591965,442.0,0.4060678305364721,247.0
268,Hsbc Corporate Bond Fund,500,5000,0.29,"₹6,772Cr",10,Shriram Ramanathan,0.67,1.19,3.55,1.68,0.47,3,Hsbc Mutual Fund,1,Debt,Corporate Bond Mutual Funds,3.3,3.3,7.6,2.4859999999999998,0.20869270755486063,697.0,0.3769873049635027,492.0
269,Hsbc Credit Risk Fund,500,5000,0.85,₹130Cr,10,Shriram Ramanathan,0.33,-1.87,3.73,-2.39,0.35,4,Hsbc Mutual Fund,3,Debt,Credit Risk Funds,4.8,4.8,5.1,1.5664999999999996,0.16240180561217038,793.0,0.308898721442202,770.0
270,Hsbc Dynamic Bond Fund,500,5000,0.29,₹200Cr,10,Shriram Ramanathan,0.44,0.67,2.47,1.09,0.39,3,Hsbc Mutual Fund,3,Debt,Dynamic Bond,4.7,4.7,6.8,2.5095,0.19819395100202467,736.0,0.37077003093129124,541.0
271,Hsbc Elss Fund,500,500,1.16,"₹3,007Cr",10,Cheenu Gupta,2.8,-0.03,16.03,0.91,1.33,6,Hsbc Mutual Fund,1,Equity,Elss Mutual Funds,-1.2,-1.2,8.0,1.905,0.22496908469117227,620.0,0.3296208004774581,727.0
272,Hsbc Equity Hybrid Fund,500,5000,1.0,₹474Cr,4,Neelotpal Sahai,2.41,0.57,12.27,0.81,1.26,6,Hsbc Mutual Fund,3,Hybrid,Aggressive Hybrid Mutual Funds,1.7,1.7,13.3,4.102,0.2793978140939704,266.0,0.38538247163105127,425.0
273,Hsbc Equity Savings Fund,500,5000,0.62,₹150Cr,10,Ritesh Jain,4.47,5.57,6.24,0.85,1.86,3,Hsbc Mutual Fund,2,Hybrid,Equity Savings Mutual Funds,2.9,2.9,7.5,3.6505,0.2909783285876486,198.0,0.40083613263917955,288.0
274,Hsbc Flexi Cap Fund,500,5000,1.23,"₹3,097Cr",10,Vihang Naik,2.92,0.36,16.25,0.94,1.38,6,Hsbc Mutual Fund,2,Equity,Flexi Cap Funds,-1.2,-1.2,9.2,2.486999999999999,0.23823283415745908,520.0,0.3354305824905667,709.0
275,Hsbc Flexi Debt Fund,500,5000,0.94,₹54Cr,10,Ritesh Jain,0.44,0.67,2.47,1.09,0.39,3,Hsbc Mutual Fund,2,Debt,Dynamic Bond,1.7,1.7,13.3,4.277000000000001,0.23703388872972783,525.0,0.3633142073480663,587.0
276,Hsbc Gilt Fund,500,5000,0.48,₹231Cr,10,Jalpan Shah,0.49,0.51,2.94,0.64,0.41,3,Hsbc Mutual Fund,3,Debt,Gilt Mutual Funds,5.0,5.0,7.1,2.5609999999999995,0.1979028216429052,737.0,0.35983131732100193,602.0
277,Hsbc Infrastructure Fund,500,5000,1.14,"₹1,476Cr",10,Venugopal Manghat,3.69,10.03,16.32,0.6,1.78,6,Hsbc Mutual Fund,2,Equity,Sectoral / Thematic Mutual Funds,11.3,11.3,9.3,4.548999999999999,0.3174639523876292,109.0,0.3992615149862292,297.0
278,Hsbc Large & Mid Cap Fund,500,5000,1.08,"₹1,992Cr",4,Neelotpal Sahai,3.02,1.39,15.85,0.91,1.4,6,Hsbc Mutual Fund,2,Equity,Large & Mid Cap Funds,-0.6,-0.6,8.9,2.6359999999999997,0.24533971823439865,480.0,0.34773474968094353,656.0
279,Hsbc Large Cap Fund,500,5000,1.26,"₹1,405Cr",10,Neelotpal Sahai,2.6,-2.34,16.62,0.97,1.18,6,Hsbc Mutual Fund,2,Equity,Large Cap Mutual Funds,0.0,0.0,10.6,2.305499999999999,0.23316247505199328,559.0,0.3376935279280551,697.0
280,Hsbc Liquid Fund,500,5000,0.12,"₹12,043Cr",10,Kapil Punjabi,4.42,1.38,0.38,0.77,0.91,2,Hsbc Mutual Fund,3,Debt,Liquid Mutual Funds,5.7,5.7,5.3,2.4344999999999994,0.23900454766450013,514.0,0.40106147035324835,284.0
281,Hsbc Low Duration Fund,500,5000,0.25,₹467Cr,10,Shriram Ramanathan,0.63,0.3,2.32,-0.78,0.58,2,Hsbc Mutual Fund,3,Debt,Low Duration Funds,5.2,5.2,5.8,2.2764999999999995,0.19986737398997292,730.0,0.36974678225893376,547.0
282,Hsbc Managed Solutions Conservative Fund,500,5000,0.54,₹34Cr,9,Gautam Bhupal,0.86,-1.07,4.45,0.49,0.55,3,Hsbc Mutual Fund,2,Other,Fofs Domestic,3.2,3.2,5.9,1.6920000000000002,0.1842572568255441,770.0,0.3442770323146649,677.0
283,Hsbc Managed Solutions Growth Fund,500,5000,1.06,₹34Cr,9,Gautam Bhupal,3.05,1.87,13.16,0.9,1.4,6,Hsbc Mutual Fund,2,Other,Fofs Domestic,0.6,0.6,9.2,2.9579999999999997,0.2525594415028352,434.0,0.3552535123108973,623.0
284,Hsbc Managed Solutions Moderate Fund,500,5000,0.76,₹58Cr,9,Gautam Bhupal,2.81,0.67,10.91,0.74,1.31,5,Hsbc Mutual Fund,2,Other,Fofs Domestic,1.2,1.2,8.7,2.6854999999999998,0.24722071215497207,471.0,0.3703212306920828,544.0
285,Hsbc Medium Duration Fund,500,5000,0.4,₹643Cr,8,Shriram Ramanathan,0.84,1.93,2.78,0.67,0.76,3,Hsbc Mutual Fund,3,Debt,Medium Duration Funds,4.2,4.2,6.7,2.8055000000000003,0.21458682868256185,672.0,0.3716456748656265,533.0
